#{"t_start": 1764218052.2469642, "env_id": "CartPole-v1"}
r,l,t
16.0,16,0.008131
16.0,16,0.009119
51.0,51,0.010129
11.0,11,0.011183
14.0,14,0.012162
15.0,15,0.012162
15.0,15,0.013176
17.0,17,0.013176
27.0,27,0.01617
47.0,47,0.02011
23.0,23,0.021141
18.0,18,0.022131
25.0,25,0.022792
14.0,14,0.023888
15.0,15,0.023888
9.0,9,0.024901
21.0,21,0.029473
11.0,11,0.030636
29.0,29,0.030636
16.0,16,0.031666
29.0,29,0.033735
12.0,12,0.033735
9.0,9,0.033735
12.0,12,0.034731
38.0,38,0.037315
11.0,11,0.037315
10.0,10,0.038336
20.0,20,0.038336
12.0,12,0.039335
18.0,18,0.040336
16.0,16,0.040336
21.0,21,0.041343
13.0,13,0.042336
24.0,24,0.043456
17.0,17,0.044495
11.0,11,0.044495
17.0,17,0.04648
11.0,11,0.047482
15.0,15,0.047482
23.0,23,0.04851
21.0,21,0.049496
31.0,31,0.050492
36.0,36,0.051472
45.0,45,0.056493
18.0,18,0.060502
23.0,23,0.061505
14.0,14,0.061505
11.0,11,0.062496
47.0,47,0.064498
16.0,16,0.076452
17.0,17,0.089473
25.0,25,0.110254
24.0,24,0.129107
24.0,24,0.145105
27.0,27,0.16425
12.0,12,0.176229
10.0,10,0.188429
17.0,17,0.201977
22.0,22,0.2281
14.0,14,0.238978
25.0,25,0.26012
46.0,46,0.312549
24.0,24,0.335694
14.0,14,0.347695
23.0,23,0.37055
10.0,10,0.38272
38.0,38,0.415223
13.0,13,0.423228
10.0,10,0.432221
14.0,14,0.440217
11.0,11,0.446221
9.0,9,0.449319
12.0,12,0.458221
86.0,86,0.523797
29.0,29,0.545796
32.0,32,0.575795
43.0,43,0.618475
23.0,23,0.639363
16.0,16,0.650364
27.0,27,0.672918
34.0,34,0.708299
9.0,9,0.714298
9.0,9,0.722298
11.0,11,0.729297
24.0,24,0.755298
11.0,11,0.771291
16.0,16,0.784297
16.0,16,0.796315
12.0,12,0.805649
15.0,15,0.817652
12.0,12,0.825647
16.0,16,0.833651
33.0,33,0.854651
13.0,13,0.862651
16.0,16,0.873642
18.0,18,0.885661
19.0,19,0.90136
21.0,21,0.92136
12.0,12,0.930358
9.0,9,0.93436
8.0,8,0.94136
11.0,11,0.95336
18.0,18,0.966368
10.0,10,0.981362
30.0,30,1.005386
19.0,19,1.026234
17.0,17,1.040233
13.0,13,1.052234
13.0,13,1.067224
15.0,15,1.080393
20.0,20,1.097389
10.0,10,1.109033
11.0,11,1.122929
13.0,13,1.133929
14.0,14,1.145931
15.0,15,1.160928
45.0,45,1.199115
14.0,14,1.213861
17.0,17,1.231851
16.0,16,1.246863
12.0,12,1.259847
14.0,14,1.276852
20.0,20,1.296868
25.0,25,1.314424
12.0,12,1.325079
38.0,38,1.355706
41.0,41,1.391831
9.0,9,1.398991
29.0,29,1.430788
20.0,20,1.447783
19.0,19,1.467786
13.0,13,1.4798
16.0,16,1.493335
10.0,10,1.507353
33.0,33,1.533357
11.0,11,1.541532
15.0,15,1.550352
14.0,14,1.563365
14.0,14,1.57735
13.0,13,1.588364
16.0,16,1.599362
12.0,12,1.606903
11.0,11,1.613901
17.0,17,1.634896
13.0,13,1.6499
21.0,21,1.662901
11.0,11,1.6709
10.0,10,1.675891
13.0,13,1.684945
14.0,14,1.692979
12.0,12,1.698978
12.0,12,1.707176
15.0,15,1.71718
16.0,16,1.72618
16.0,16,1.736167
13.0,13,1.746165
35.0,35,1.770176
13.0,13,1.777165
11.0,11,1.784166
14.0,14,1.792171
12.0,12,1.803211
29.0,29,1.8243
12.0,12,1.837332
32.0,32,1.865222
11.0,11,1.873426
18.0,18,1.886334
22.0,22,1.904071
19.0,19,1.916205
13.0,13,1.926211
12.0,12,1.938074
15.0,15,1.95608
10.0,10,1.964753
15.0,15,1.979447
15.0,15,1.99348
18.0,18,2.006523
15.0,15,2.015543
23.0,23,2.031542
20.0,20,2.045537
21.0,21,2.06254
24.0,24,2.07954
20.0,20,2.101556
14.0,14,2.114099
19.0,19,2.132091
20.0,20,2.151095
45.0,45,2.188097
10.0,10,2.1961
16.0,16,2.210616
18.0,18,2.224614
31.0,31,2.250609
22.0,22,2.267618
110.0,110,2.328653
14.0,14,2.335663
16.0,16,2.348664
35.0,35,2.383664
42.0,42,2.415114
16.0,16,2.430108
39.0,39,2.461108
20.0,20,2.474116
16.0,16,2.485107
12.0,12,2.493127
12.0,12,2.501127
28.0,28,2.519277
18.0,18,2.535272
15.0,15,2.544271
13.0,13,2.556277
27.0,27,2.574277
12.0,12,2.585283
16.0,16,2.59529
18.0,18,2.620968
11.0,11,2.632971
14.0,14,2.642967
13.0,13,2.650968
15.0,15,2.66597
43.0,43,2.706522
52.0,52,2.757522
21.0,21,2.777551
24.0,24,2.801777
48.0,48,2.839288
28.0,28,2.861297
17.0,17,2.874288
20.0,20,2.893454
90.0,90,2.958984
21.0,21,2.977988
17.0,17,2.990004
33.0,33,3.027532
19.0,19,3.039663
49.0,49,3.081614
30.0,30,3.105103
19.0,19,3.125103
23.0,23,3.146216
23.0,23,3.164236
33.0,33,3.193265
32.0,32,3.222846
19.0,19,3.246387
35.0,35,3.298938
23.0,23,3.324463
13.0,13,3.336454
24.0,24,3.35845
63.0,63,3.408005
21.0,21,3.426155
16.0,16,3.442004
17.0,17,3.552646
26.0,26,3.575634
35.0,35,3.605213
111.0,111,3.711031
23.0,23,3.731062
51.0,51,3.786913
91.0,91,3.865744
216.0,216,4.072521
184.0,184,4.245678
68.0,68,4.305633
145.0,145,4.432454
27.0,27,4.459534
117.0,117,4.567366
161.0,161,4.720604
55.0,55,4.769742
187.0,187,4.943139
96.0,96,5.03298
239.0,239,5.267319
225.0,225,5.461677
174.0,174,5.613365
191.0,191,5.8051
74.0,74,5.882314
41.0,41,5.923204
178.0,178,6.097968
17.0,17,6.111978
235.0,235,6.348516
187.0,187,6.523517
80.0,80,6.614954
248.0,248,6.877564
202.0,202,7.07076
224.0,224,7.302411
264.0,264,7.571316
251.0,251,7.830361
233.0,233,8.098552
372.0,372,9.753492
192.0,192,9.976354
208.0,208,10.262642
172.0,172,10.490963
278.0,278,10.826549
220.0,220,11.098061
217.0,217,11.372377
315.0,315,11.782539
263.0,263,12.067515
308.0,308,12.457965
385.0,385,12.968878
319.0,319,13.365171
235.0,235,13.665761
311.0,311,14.097067
265.0,265,14.424639
318.0,318,14.784907
435.0,435,15.254535
290.0,290,15.565869
259.0,259,16.855948
247.0,247,17.076895
221.0,221,17.287925
179.0,179,17.475617
318.0,318,17.811869
146.0,146,17.95289
196.0,196,18.144921
147.0,147,18.295252
169.0,169,18.47181
134.0,134,18.624845
167.0,167,18.817856
205.0,205,19.038614
147.0,147,19.183572
153.0,153,19.349603
144.0,144,19.507631
173.0,173,19.685165
159.0,159,19.860431
147.0,147,20.016514
150.0,150,20.178699
154.0,154,20.363876
201.0,201,20.5559
160.0,160,20.724932
148.0,148,20.889899
146.0,146,21.066045
147.0,147,21.261379
154.0,154,21.438928
149.0,149,21.58112
159.0,159,21.798728
144.0,144,21.968555
168.0,168,22.170514
165.0,165,23.162555
176.0,176,23.372258
183.0,183,23.605307
186.0,186,23.838629
172.0,172,24.064921
136.0,136,24.238295
132.0,132,24.38381
130.0,130,24.524174
156.0,156,24.729004
156.0,156,24.912758
144.0,144,25.102488
188.0,188,25.341519
131.0,131,25.491547
165.0,165,25.695833
173.0,173,25.911555
141.0,141,26.087313
191.0,191,26.344939
155.0,155,26.539057
134.0,134,26.707936
375.0,375,27.08516
145.0,145,27.255264
266.0,266,27.537303
232.0,232,27.787735
128.0,128,27.943228
325.0,325,28.301929
148.0,148,28.454319
141.0,141,28.58937
181.0,181,28.779319
179.0,179,29.680365
175.0,175,29.856128
155.0,155,29.991723
145.0,145,30.135829
180.0,180,30.317369
155.0,155,30.474369
142.0,142,30.631509
217.0,217,30.842596
386.0,386,31.22897
144.0,144,31.360843
164.0,164,31.530893
191.0,191,31.736346
193.0,193,31.936991
