#{"t_start": 1764218052.24802, "env_id": "CartPole-v1"}
r,l,t
17.0,17,3.45395
23.0,23,3.463948
19.0,19,3.470948
25.0,25,3.479948
23.0,23,3.486964
17.0,17,3.49398
22.0,22,3.501005
26.0,26,3.512696
21.0,21,3.521585
25.0,25,3.529718
224.0,224,8.678848
210.0,210,8.765259
275.0,275,8.865806
232.0,232,8.979825
208.0,208,9.086855
278.0,278,9.238312
230.0,230,9.371161
216.0,216,9.477115
251.0,251,9.593778
193.0,193,9.702776
183.0,183,15.884729
343.0,343,16.003243
224.0,224,16.093759
243.0,243,16.198798
171.0,171,16.267692
240.0,240,16.366736
243.0,243,16.471252
407.0,407,16.626866
224.0,224,16.714869
297.0,297,16.80438
130.0,130,22.279974
169.0,169,22.3585
166.0,166,22.438836
150.0,150,22.514843
181.0,181,22.625226
165.0,165,22.680233
140.0,140,22.727757
146.0,146,22.826955
161.0,161,22.906947
175.0,175,22.988467
160.0,160,28.928205
161.0,161,28.989218
152.0,152,29.052601
208.0,208,29.141152
179.0,179,29.208151
155.0,155,29.277759
166.0,166,29.338292
307.0,307,29.457197
182.0,182,29.52121
158.0,158,29.574768
228.0,228,34.91625
228.0,228,35.013577
336.0,336,35.142926
230.0,230,35.248458
264.0,264,35.374726
281.0,281,35.506275
239.0,239,35.628831
284.0,284,35.76085
486.0,486,36.001094
290.0,290,36.133236
168.0,168,41.518791
142.0,142,41.558352
163.0,163,41.610447
177.0,177,41.664973
152.0,152,41.708978
121.0,121,41.745522
158.0,158,41.793526
171.0,171,41.849078
138.0,138,41.901077
256.0,256,42.001606
225.0,225,47.198917
227.0,227,47.302194
190.0,190,47.392745
186.0,186,47.463346
225.0,225,47.554657
189.0,189,47.615657
200.0,200,47.678033
208.0,208,47.747575
197.0,197,47.812567
197.0,197,47.870327
217.0,217,53.49069
279.0,279,53.60213
252.0,252,53.694679
300.0,300,53.796211
222.0,222,53.87376
293.0,293,53.985037
277.0,277,54.093795
272.0,272,54.185289
219.0,219,54.26388
297.0,297,54.376494
129.0,129,59.403165
154.0,154,59.460693
143.0,143,59.524693
140.0,140,59.592911
140.0,140,59.643508
141.0,141,59.710132
126.0,126,59.764216
140.0,140,59.841457
136.0,136,59.913059
143.0,143,59.978983
131.0,131,65.802235
118.0,118,65.839236
127.0,127,65.878779
132.0,132,65.920784
134.0,134,65.964309
121.0,121,66.00032
132.0,132,66.05433
126.0,126,66.102868
128.0,128,66.146879
126.0,126,66.194428
115.0,115,70.922139
104.0,104,70.955162
109.0,109,70.992441
106.0,106,71.027442
109.0,109,71.066494
112.0,112,71.108494
112.0,112,71.17303
120.0,120,71.22403
109.0,109,71.280585
116.0,116,71.320344
107.0,107,76.039352
107.0,107,76.073885
110.0,110,76.109886
109.0,109,76.142886
108.0,108,76.178442
112.0,112,76.213448
107.0,107,76.246447
109.0,109,76.289031
104.0,104,76.326089
110.0,110,76.376689
116.0,116,80.826906
126.0,126,80.867917
156.0,156,80.917458
132.0,132,80.959535
149.0,149,81.015999
144.0,144,81.06523
123.0,123,81.112689
129.0,129,81.154703
146.0,146,81.201305
135.0,135,81.255366
100.0,100,85.865699
105.0,105,85.902237
107.0,107,85.937489
108.0,108,85.981156
107.0,107,86.027124
108.0,108,86.079104
104.0,104,86.121093
104.0,104,86.157152
106.0,106,86.204894
100.0,100,86.260906
143.0,143,90.67962
159.0,159,90.736633
133.0,133,90.784257
153.0,153,90.837196
135.0,135,90.882951
127.0,127,90.928423
151.0,151,90.997546
148.0,148,91.045547
138.0,138,91.094178
138.0,138,91.138165
294.0,294,95.897617
224.0,224,96.019182
143.0,143,96.094788
275.0,275,96.20963
288.0,288,96.308853
200.0,200,96.377881
196.0,196,96.440418
150.0,150,96.49195
156.0,156,96.54095
319.0,319,96.640542
114.0,114,101.03533
123.0,123,101.074315
123.0,123,101.113873
122.0,122,101.155873
125.0,125,101.193421
116.0,116,101.233423
109.0,109,101.26743
109.0,109,101.303977
115.0,115,101.338999
119.0,119,101.382072
298.0,298,105.571528
284.0,284,105.663888
299.0,299,105.771967
352.0,352,105.890615
500.0,500,106.050328
305.0,305,106.143875
336.0,336,106.25542
297.0,297,106.357787
336.0,336,106.463341
304.0,304,106.567143
138.0,138,110.669776
136.0,136,110.712345
129.0,129,110.755163
138.0,138,110.799295
132.0,132,110.845987
128.0,128,110.891918
136.0,136,110.934474
131.0,131,110.974474
132.0,132,111.018033
130.0,130,111.065075
130.0,130,111.120692
131.0,131,111.161684
126.0,126,111.206224
127.0,127,111.24822
128.0,128,111.288233
124.0,124,111.331796
133.0,133,111.382818
125.0,125,111.4267
124.0,124,111.46871
131.0,131,111.515249
136.0,136,111.563249
133.0,133,111.611816
132.0,132,111.658817
131.0,131,111.702383
131.0,131,111.748557
127.0,127,111.7935
130.0,130,111.834187
132.0,132,111.873183
133.0,133,111.918727
133.0,133,111.961726
