#{"t_start": 1764217744.5603702, "env_id": "CartPole-v1"}
r,l,t
51.0,51,29.628657
17.0,17,29.649468
24.0,24,29.686868
11.0,11,29.703946
21.0,21,29.729773
15.0,15,29.751373
34.0,34,29.793297
42.0,42,29.840375
14.0,14,29.859215
9.0,9,29.868335
23.0,23,29.895216
31.0,31,29.933432
12.0,12,29.952105
16.0,16,29.976086
36.0,36,30.036281
16.0,16,30.069074
38.0,38,30.126973
31.0,31,30.159116
29.0,29,30.194096
13.0,13,30.210049
41.0,41,30.253901
28.0,28,30.282815
23.0,23,30.310899
28.0,28,30.343153
14.0,14,30.361674
16.0,16,30.377675
10.0,10,30.38976
24.0,24,30.425739
21.0,21,30.459526
13.0,13,30.497916
12.0,12,30.512915
15.0,15,30.534918
25.0,25,30.580429
22.0,22,30.620427
22.0,22,30.65694
30.0,30,30.70494
28.0,28,30.756455
30.0,30,30.820455
21.0,21,30.86497
15.0,15,30.88297
80.0,80,30.97049
20.0,20,31.010999
26.0,26,31.053509
24.0,24,31.09251
10.0,10,31.11451
26.0,26,31.145513
12.0,12,31.162546
12.0,12,31.183546
10.0,10,31.198549
18.0,18,31.234551
14.0,14,31.262583
12.0,12,31.282584
20.0,20,31.317585
15.0,15,31.336586
37.0,37,31.374096
16.0,16,31.392098
17.0,17,31.412098
21.0,21,31.434103
9.0,9,31.444101
18.0,18,31.465611
18.0,18,31.489611
19.0,19,31.51161
27.0,27,31.540614
11.0,11,31.554123
24.0,24,31.588125
12.0,12,31.604122
24.0,24,31.634135
22.0,22,31.657642
51.0,51,31.717008
14.0,14,31.734009
38.0,38,31.772519
21.0,21,31.797518
17.0,17,31.816517
30.0,30,31.85056
18.0,18,31.870562
27.0,27,31.903561
23.0,23,31.929562
13.0,13,31.944567
12.0,12,31.960076
36.0,36,32.004076
27.0,27,32.038095
13.0,13,32.054608
14.0,14,32.072608
18.0,18,32.09262
15.0,15,32.108608
18.0,18,32.129333
15.0,15,32.146868
20.0,20,32.166862
25.0,25,32.194869
47.0,47,32.253037
18.0,18,32.271048
12.0,12,32.286788
59.0,59,47.787513
40.0,40,47.833538
18.0,18,47.852055
91.0,91,47.963639
62.0,62,48.037637
63.0,63,48.112159
39.0,39,48.154691
34.0,34,48.191684
14.0,14,48.205692
98.0,98,48.317757
55.0,55,48.382808
21.0,21,48.405814
14.0,14,48.423823
48.0,48,48.477894
45.0,45,48.535916
76.0,76,48.631053
41.0,41,48.681178
15.0,15,48.698176
13.0,13,48.713185
22.0,22,48.74122
19.0,19,48.765506
14.0,14,48.784513
63.0,63,48.853509
78.0,78,48.950608
17.0,17,48.973118
15.0,15,48.988125
54.0,54,49.05213
23.0,23,49.08065
21.0,21,49.105647
25.0,25,49.138646
10.0,10,49.152182
38.0,38,49.197196
67.0,67,49.277717
10.0,10,49.289725
31.0,31,49.323721
14.0,14,49.339725
25.0,25,49.369875
14.0,14,49.383868
16.0,16,49.403874
68.0,68,49.479957
39.0,39,49.523964
20.0,20,49.550976
24.0,24,49.583037
14.0,14,49.599036
32.0,32,49.636044
12.0,12,49.649055
32.0,32,49.684569
69.0,69,49.782101
25.0,25,49.813198
35.0,35,49.86166
19.0,19,49.885662
33.0,33,49.924661
18.0,18,49.945549
20.0,20,49.969072
31.0,31,50.004071
41.0,41,50.05308
52.0,52,50.1086
55.0,55,51.397993
29.0,29,51.429991
9.0,9,51.443995
41.0,41,51.492537
28.0,28,51.522537
73.0,73,51.607067
89.0,89,51.706118
36.0,36,51.746625
10.0,10,51.761032
45.0,45,51.813031
55.0,55,51.876546
49.0,49,51.933547
34.0,34,51.972061
16.0,16,51.992064
74.0,74,52.075133
25.0,25,52.104132
22.0,22,52.129133
76.0,76,52.210168
29.0,29,52.242175
60.0,60,52.313685
44.0,44,52.365202
79.0,79,53.132559
38.0,38,53.172083
18.0,18,53.198082
