#{"t_start": 1764217744.5613763, "env_id": "CartPole-v1"}
r,l,t
134.0,134,52.537911
101.0,101,52.599442
162.0,162,52.694951
70.0,70,52.739489
98.0,98,52.801767
73.0,73,52.852439
97.0,97,52.911955
94.0,94,52.964462
99.0,99,53.031467
91.0,91,53.094552
151.0,151,61.375267
279.0,279,61.5539
213.0,213,61.682379
232.0,232,61.827539
500.0,500,62.14515
121.0,121,62.223718
203.0,203,62.343974
188.0,188,62.465941
467.0,467,62.769335
467.0,467,63.07243
284.0,284,72.578982
462.0,462,72.866151
442.0,442,73.135983
500.0,500,73.446213
500.0,500,73.765587
500.0,500,74.079253
285.0,285,74.261774
500.0,500,74.591854
293.0,293,74.772174
316.0,316,74.978214
500.0,500,83.573231
500.0,500,83.896299
500.0,500,84.202835
435.0,435,84.466452
500.0,500,84.777
426.0,426,85.043339
500.0,500,85.354879
500.0,500,85.677134
429.0,429,85.943536
444.0,444,86.221985
500.0,500,95.852007
500.0,500,96.160527
500.0,500,96.491424
500.0,500,96.809654
500.0,500,97.122968
500.0,500,97.428184
500.0,500,97.730859
500.0,500,98.051194
500.0,500,98.353016
500.0,500,98.671543
500.0,500,107.226398
500.0,500,107.577655
500.0,500,107.944991
500.0,500,108.300087
500.0,500,108.634026
500.0,500,108.998265
500.0,500,109.415832
500.0,500,109.894442
500.0,500,110.332648
500.0,500,110.844208
500.0,500,124.013487
500.0,500,124.488257
500.0,500,124.974634
500.0,500,125.380295
500.0,500,125.884655
500.0,500,126.306985
500.0,500,126.704629
500.0,500,127.152602
500.0,500,127.543514
500.0,500,128.011677
500.0,500,138.38094
500.0,500,138.794306
500.0,500,139.12657
500.0,500,139.607598
500.0,500,140.047216
500.0,500,140.496548
500.0,500,140.8769
500.0,500,141.238507
500.0,500,141.58608
500.0,500,141.936401
500.0,500,153.489527
500.0,500,153.844514
500.0,500,154.189057
500.0,500,154.550111
500.0,500,154.888246
500.0,500,155.235854
500.0,500,155.586403
500.0,500,155.947105
500.0,500,156.302735
500.0,500,156.668086
500.0,500,169.402915
500.0,500,169.743639
500.0,500,170.074389
500.0,500,170.412016
500.0,500,170.76568
500.0,500,171.123263
500.0,500,171.478318
500.0,500,171.870568
500.0,500,172.290827
500.0,500,172.702535
500.0,500,182.676869
500.0,500,183.027641
500.0,500,183.437343
500.0,500,183.833959
500.0,500,184.256284
500.0,500,184.665973
500.0,500,185.005553
500.0,500,185.329172
500.0,500,185.777945
500.0,500,186.226601
500.0,500,196.768622
500.0,500,197.089516
500.0,500,197.414208
500.0,500,197.817634
500.0,500,198.202914
500.0,500,198.547414
500.0,500,198.903796
500.0,500,199.249635
500.0,500,199.580139
500.0,500,199.939888
500.0,500,208.711421
500.0,500,209.063414
500.0,500,209.391111
500.0,500,209.736269
500.0,500,210.099424
500.0,500,210.415128
500.0,500,210.824286
500.0,500,211.134979
500.0,500,211.457524
500.0,500,211.802163
500.0,500,221.878372
500.0,500,222.246596
500.0,500,222.580435
500.0,500,222.929231
500.0,500,223.250345
500.0,500,223.604399
500.0,500,223.94879
500.0,500,224.245506
500.0,500,224.572686
500.0,500,224.911861
500.0,500,233.493083
500.0,500,233.807763
500.0,500,234.111029
500.0,500,234.423113
500.0,500,234.728652
500.0,500,235.057958
500.0,500,235.365492
500.0,500,235.692097
500.0,500,235.999225
500.0,500,236.340343
500.0,500,245.82006
500.0,500,246.140685
500.0,500,246.445343
500.0,500,246.750007
500.0,500,247.063648
500.0,500,247.368977
500.0,500,247.669375
500.0,500,247.982655
500.0,500,248.299663
500.0,500,248.631663
500.0,500,257.132352
500.0,500,257.441715
500.0,500,257.757082
500.0,500,258.089854
500.0,500,258.418395
500.0,500,258.749647
500.0,500,259.071408
500.0,500,259.396027
500.0,500,259.716425
500.0,500,260.033119
500.0,500,268.516241
500.0,500,268.823601
500.0,500,269.131557
500.0,500,269.446667
500.0,500,269.748871
500.0,500,270.056115
500.0,500,270.360025
500.0,500,270.669428
500.0,500,270.964149
500.0,500,271.269012
500.0,500,280.869125
500.0,500,281.196101
500.0,500,281.498149
500.0,500,281.803566
500.0,500,282.125118
500.0,500,282.4318
500.0,500,282.740287
500.0,500,283.04307
500.0,500,283.328199
500.0,500,283.628966
500.0,500,293.621029
500.0,500,294.07403
500.0,500,294.503815
500.0,500,294.961386
500.0,500,295.425725
500.0,500,295.790465
500.0,500,296.231666
500.0,500,296.659295
500.0,500,297.079435
500.0,500,297.439202
500.0,500,299.997767
500.0,500,300.360989
500.0,500,300.711462
500.0,500,301.084208
500.0,500,301.415079
500.0,500,301.766954
500.0,500,302.149848
500.0,500,302.515298
500.0,500,302.874473
500.0,500,303.302721
500.0,500,303.694434
500.0,500,304.093279
500.0,500,304.56073
500.0,500,305.024597
500.0,500,305.470084
500.0,500,305.898539
500.0,500,306.339025
500.0,500,306.786174
500.0,500,307.245909
500.0,500,307.682906
