#{"t_start": 1764216637.6738493, "env_id": "None"}
r,l,t
213.0,213,60.185261
288.0,288,60.392308
303.0,303,60.621618
224.0,224,60.784668
201.0,201,60.928874
199.0,199,61.068626
267.0,267,61.255292
206.0,206,61.406853
212.0,212,61.55987
173.0,173,61.680398
165.0,165,106.57439
159.0,159,106.695001
147.0,147,106.803674
169.0,169,106.923185
172.0,172,107.048804
151.0,151,107.150176
272.0,272,107.343292
238.0,238,107.515328
195.0,195,107.66296
170.0,170,107.787471
238.0,238,162.179273
165.0,165,162.312314
170.0,170,162.443827
174.0,174,162.591899
262.0,262,162.810984
321.0,321,163.088592
155.0,155,163.21411
168.0,168,163.354907
184.0,184,163.515492
169.0,169,163.697869
185.0,185,221.117687
281.0,281,221.307717
200.0,200,221.453335
218.0,218,221.627171
226.0,226,221.785708
226.0,226,221.951216
220.0,220,222.116247
164.0,164,222.236763
194.0,194,222.395296
205.0,205,222.569972
201.0,201,268.550862
169.0,169,268.666358
141.0,141,268.762451
145.0,145,268.860967
159.0,159,268.983573
181.0,181,269.104091
177.0,177,269.22923
156.0,156,269.338744
142.0,142,269.436842
153.0,153,269.544866
197.0,197,313.75825
206.0,206,313.920271
234.0,234,314.135451
197.0,197,314.318986
186.0,186,314.515618
199.0,199,314.700024
325.0,325,315.039012
213.0,213,315.258065
195.0,195,315.461333
205.0,205,315.699749
178.0,178,379.247678
182.0,182,379.422764
181.0,181,379.557308
179.0,179,379.677467
164.0,164,379.781023
184.0,184,379.913868
175.0,175,380.070999
181.0,181,380.197066
208.0,208,380.34004
168.0,168,380.451577
239.0,239,429.528178
280.0,280,429.741705
220.0,220,429.900788
215.0,215,430.057979
294.0,294,430.269711
209.0,209,430.414374
248.0,248,430.598768
219.0,219,430.763794
213.0,213,430.929881
224.0,224,431.094972
209.0,209,477.536102
219.0,219,477.690037
236.0,236,477.8456
230.0,230,478.009366
216.0,216,478.157607
252.0,252,478.336747
251.0,251,478.507214
238.0,238,478.680315
246.0,246,478.845856
213.0,213,479.006233
268.0,268,536.887297
269.0,269,537.103514
281.0,281,537.32438
358.0,358,537.592531
277.0,277,537.80028
340.0,340,538.061573
313.0,313,538.306285
370.0,370,538.577494
328.0,328,538.822287
408.0,408,539.109085
277.0,277,591.876495
222.0,222,592.036125
320.0,320,592.263714
267.0,267,592.447278
332.0,332,592.700392
290.0,290,592.893466
292.0,292,593.087385
268.0,268,593.271473
267.0,267,593.455166
365.0,365,593.710849
500.0,500,639.104677
500.0,500,639.442425
500.0,500,639.792259
500.0,500,640.142122
500.0,500,640.491565
500.0,500,640.845001
500.0,500,641.189603
500.0,500,641.531556
500.0,500,641.870649
500.0,500,642.220353
500.0,500,691.849742
500.0,500,692.345089
500.0,500,692.807433
500.0,500,693.269537
500.0,500,693.648714
500.0,500,694.039446
500.0,500,694.44961
500.0,500,694.830568
500.0,500,695.226914
500.0,500,695.637428
500.0,500,756.480832
500.0,500,756.860316
500.0,500,757.219421
500.0,500,757.573187
500.0,500,757.979793
500.0,500,758.344323
500.0,500,758.708502
500.0,500,759.092048
500.0,500,759.482271
500.0,500,759.926865
500.0,500,808.569161
500.0,500,808.91272
500.0,500,809.246336
500.0,500,809.61701
500.0,500,809.951617
500.0,500,810.293552
500.0,500,810.660423
500.0,500,811.002083
500.0,500,811.341958
500.0,500,811.685653
500.0,500,857.30868
500.0,500,857.766831
500.0,500,858.178416
500.0,500,858.56557
500.0,500,858.974707
500.0,500,859.358081
500.0,500,859.764982
500.0,500,860.175204
500.0,500,860.575059
500.0,500,860.972428
500.0,500,923.083988
500.0,500,923.49672
500.0,500,923.878376
500.0,500,924.271648
500.0,500,924.639322
500.0,500,925.022204
500.0,500,925.36583
500.0,500,925.841908
500.0,500,926.303176
500.0,500,926.699717
500.0,500,979.031684
500.0,500,979.395512
500.0,500,979.763669
500.0,500,980.122941
500.0,500,980.479016
500.0,500,980.842416
500.0,500,981.194845
500.0,500,981.540413
500.0,500,981.89196
500.0,500,982.254032
500.0,500,1029.970466
500.0,500,1030.311027
500.0,500,1030.654019
500.0,500,1031.027585
500.0,500,1031.377051
500.0,500,1031.764925
500.0,500,1032.113976
500.0,500,1032.465247
500.0,500,1032.825095
500.0,500,1033.182772
500.0,500,1095.333314
500.0,500,1095.759084
500.0,500,1096.193966
500.0,500,1096.592152
500.0,500,1097.044291
500.0,500,1097.398775
500.0,500,1097.781219
500.0,500,1098.235583
500.0,500,1098.580916
500.0,500,1098.984913
500.0,500,1099.382029
500.0,500,1099.761467
500.0,500,1100.158635
500.0,500,1100.576808
500.0,500,1100.939084
500.0,500,1101.308457
500.0,500,1101.63641
500.0,500,1101.984047
500.0,500,1102.372834
500.0,500,1102.726294
500.0,500,1103.092535
500.0,500,1103.435568
500.0,500,1103.828523
500.0,500,1104.252409
500.0,500,1104.660712
500.0,500,1105.119045
500.0,500,1105.53806
500.0,500,1105.982335
500.0,500,1106.457536
500.0,500,1106.883481
